year,agency_code,category_code,pct_ready_kea
2018,010304,E,48.4
2018,010308,E,84.0
2018,010312,E,86.2
2018,010320,E,91.5
2018,010326,E,50.0
2018,010328,E,55.4
2018,010340,E,42.7
2018,010346,E,85.1
2018,010347,E,66.0
2018,010351,E,14.3
2018,010354,E,59.2
2018,010357,E,32.9
2018,010358,E,55.8
2018,010362,E,81.5
2018,010364,E,54.4
2018,010372,E,27.3
2018,010374,E,13.8
2018,010378,A,0.0
2018,010380,E,87.9
2018,010384,E,74.7
2018,010392,E,59.6
2018,020304,E,91.4
2018,020308,E,95.1
2018,020316,E,59.3
2018,020320,E,80.6
2018,020324,E,87.5
2018,020328,E,47.8
2018,020332,E,89.1
2018,030308,I,84.6
2018,030316,I,91.7
2018,030320,I,75.7
2018,040308,E,79.4
2018,040311,E,51.9
2018,040316,E,37.5
2018,040324,E,0.0
2018,040328,E,78.3
2018,050310,E,9.9
2018,050330,E,47.7
2018,050335,E,57.3
2018,060304,E,51.5
2018,060316,E,45.2
2018,060322,E,65.5
2018,060328,E,59.5
2018,060332,E,87.5
2018,070302,E,59.2
2018,070308,I,44.8
2018,070326,E,6.3
2018,070329,I,27.0
2018,070340,I,73.3
2018,080348,E,43.5
2018,080356,E,7.4
2018,080360,E,71.4
2018,080362,E,13.5
2018,090304,E,14.3
2018,090317,E,28.4
2018,090318,E,60.6
2018,090324,E,74.5
2018,090328,I,42.9
2018,090333,E,52.2
2018,090352,E,63.0
2018,100302,E,5.0
2018,100304,E,7.4
2018,100310,E,0.0
2018,100320,E,31.3
2018,100336,E,34.8
2018,100338,E,6.3
2018,100339,E,5.1
2018,100340,E,10.1
2018,100342,E,2.4
2018,100344,I,0.0
2018,110308,E,45.2
2018,110320,E,62.9
2018,110324,E,11.6
2018,110332,E,80.0
2018,110348,E,31.9
2018,110356,E,59.1
2018,110366,E,34.4
2018,110368,E,22.4
2018,110370,E,70.0
2018,110372,E,0.0
2018,110376,E,46.3
2018,110379,E,52.8
2018,110384,E,48.7
2018,110388,E,25.0
2018,110408,E,48.5
2018,110410,E,54.4
2018,110412,E,47.5
2018,110422,E,55.9
2018,110432,E,82.2
2018,110436,E,10.1
2018,110444,E,54.8
2018,111304,E,60.0
2018,111306,E,92.5
2018,111307,E,25.0
2018,111312,E,93.3
2018,111332,E,93.5
2018,111360,E,78.0
2018,120304,E,7.4
2018,120312,E,12.2
2018,120316,E,40.9
2018,120320,E,16.3
2018,120324,E,56.9
2018,120338,E,16.1
2018,120340,E,40.7
2018,120344,E,32.7
2018,120352,A,0.0
2018,120360,E,57.1
2018,120364,E,39.4
2018,120368,E,51.5
2018,120372,E,51.7
2018,120374,E,9.4
2018,120380,E,66.1
2018,120386,E,30.5
2018,130304,E,56.3
2018,130308,E,62.4
2018,130309,E,78.9
2018,130311,E,75.4
2018,130312,E,75.7
2018,130319,E,50.0
2018,130321,E,34.7
2018,130322,E,62.6
2018,130325,E,0.0
2018,130328,E,35.4
2018,130329,E,100.0
2018,130330,E,37.3
2018,130331,E,95.9
2018,130336,E,55.3
2018,130338,E,87.1
2018,130340,E,84.5
2018,130342,E,50.0
2018,130344,E,31.4
2018,130345,E,41.0
2018,132308,E,23.9
2018,132312,E,44.7
2018,132314,E,55.4
2018,132328,E,1.6
2018,132332,E,31.5
2018,132336,E,23.8
2018,140304,E,62.7
2018,140307,E,83.3
2018,140308,I,62.1
2018,140312,E,87.5
2018,140316,E,49.3
2018,140324,E,65.8
2018,140340,E,63.3
2018,140344,I,53.8
2018,140352,E,74.4
2018,140360,I,10.5
2018,140372,E,94.7
2018,140376,I,44.4
2018,140384,E,50.9
2018,140388,E,80.8
2018,140392,E,0.0
2018,140396,E,71.4
2018,150308,E,62.3
2018,160304,E,56.3
2018,160306,E,74.6
2018,160308,E,32.8
2018,160316,E,78.9
2018,160322,E,50.6
2018,160324,E,79.7
2018,160332,I,73.7
2018,160352,E,73.0
2018,170334,E,12.5
2018,170339,E,0.0
2018,170342,E,27.5
2018,170344,E,32.3
2018,180304,E,68.6
2018,180312,E,16.1
2018,180316,E,60.0
2018,180323,A,0.0
2018,180324,E,61.7
2018,180326,E,63.8
2018,180332,E,43.3
2018,180336,E,54.2
2018,180343,E,85.7
2018,180344,E,72.4
2018,180356,E,26.1
2018,180360,E,75.3
2018,180368,E,40.0
2018,180372,E,35.8
2018,180379,E,31.8
2018,180380,E,35.3
2018,180388,E,76.8
2018,181326,E,45.0
2018,181336,E,13.6
2018,181342,E,54.9
2018,181344,E,42.9
2018,182304,A,0.0
2018,182322,E,89.0
2018,182324,E,95.8
2018,182328,E,53.3
2018,190304,I,41.7
2018,190308,I,88.4
2018,190332,I,91.7
2018,190340,I,0.0
2018,190341,E,63.3
2018,190346,E,92.1
2018,190348,E,68.5
2018,190350,E,31.1
2018,190352,I,77.8
2018,190370,E,54.5
2018,200304,E,71.0
2018,200312,I,76.5
2018,200320,I,59.1
2018,200324,E,39.4
2018,200332,E,89.7
2018,200336,I,63.2
2018,210316,E,50.0
2018,220308,E,22.1
2018,230304,E,57.5
2018,230308,E,37.3
2018,230320,E,82.2
2018,230334,E,57.8
2018,230340,E,79.2
2018,230344,E,46.3
2018,230346,E,100.0
2018,230348,E,53.3
2018,230355,E,85.5
2018,230357,E,56.0
2018,230364,E,86.8
2018,230368,E,69.6
2018,230370,E,14.9
2018,230376,E,14.8
2018,230380,E,72.2
2018,240308,E,7.3
2018,240328,I,48.5
2018,240332,E,0.0
2018,240344,I,4.5
2018,240352,E,0.0
2018,240354,E,93.3
2018,240370,E,0.0
2018,240372,E,0.0
2018,240388,I,37.7
2018,241320,E,80.0
2018,250304,E,58.2
2018,250306,E,60.9
2018,250308,E,28.1
2018,250312,E,45.5
2018,250316,E,90.8
2018,250320,E,65.5
2018,250328,E,45.1
2018,250336,E,75.9
2018,250348,E,40.8
2018,250350,E,49.3
2018,250360,E,67.1
2018,250362,E,33.3
2018,250364,E,48.9
2018,250378,E,67.6
2018,250380,E,75.4
2018,260302,E,51.1
2018,260306,E,49.3
2018,260310,E,30.1
2018,260312,E,9.1
2018,260316,E,54.1
2018,260320,E,22.9
2018,260326,E,38.8
2018,260332,E,75.9
2018,260338,E,35.7
2018,260340,E,27.0
2018,260342,E,55.1
2018,260344,E,35.3
2018,260348,E,32.1
2018,260352,E,39.7
2018,260356,E,36.0
2018,260361,E,2.4
2018,260363,E,57.9
2018,260364,E,0.0
2018,260366,E,67.0
2018,260367,E,51.5
2018,260370,E,16.7
2018,260373,E,43.2
2018,260375,E,56.9
2018,260382,E,29.6
2018,260386,E,14.3
2018,260396,E,32.3
2018,260397,E,9.0
2018,260398,E,27.7
2018,260400,E,25.4
2018,260401,E,24.5
2018,260402,E,36.6
2018,260403,E,59.0
2018,260404,E,13.9
2018,260405,E,2.0
2018,260407,E,52.0
2018,260410,E,47.8
2018,260412,E,7.8
2018,260414,E,26.9
2018,260415,E,22.5
2018,260416,E,0.0
2018,260426,E,25.0
2018,260432,E,48.9
2018,260434,E,52.1
2018,260440,E,19.0
2018,260444,E,16.2
2018,260450,E,5.6
2018,260452,E,29.1
2018,260459,E,26.3
2018,270304,E,41.0
2018,270309,E,66.7
2018,270310,E,95.3
2018,270312,E,40.0
2018,270316,E,52.5
2018,270320,E,93.8
2018,280302,E,0.0
2018,280308,E,69.7
2018,280310,E,56.8
2018,280312,E,23.1
2018,280324,E,48.9
2018,290302,E,52.0
2018,290306,E,75.3
2018,290307,E,57.4
2018,290312,E,90.2
2018,290316,E,65.8
2018,290320,E,94.1
2018,290328,E,93.1
2018,290330,E,68.0
2018,290332,E,32.6
2018,290333,E,61.4
2018,290344,E,68.5
2018,290352,E,39.3
2018,290356,E,91.7
2018,290364,E,91.7
2018,290366,E,77.5
2018,290375,E,54.4
2018,290380,E,97.0
2018,290384,E,63.2
2018,291348,E,60.8
2018,292318,E,53.6
2018,300308,E,97.3
2018,300310,E,77.2
2018,300320,E,88.2
2018,300326,E,98.8
2018,300328,E,93.4
2018,300336,E,75.8
2018,310304,I,54.7
2018,310308,I,6.0
2018,310330,I,32.7
2018,310336,I,12.4
2018,310356,I,48.5
2018,310360,E,50.0
2018,310384,I,37.5
2018,310388,I,9.0
2018,320304,E,25.5
2018,320308,E,51.5
2018,320310,E,43.8
2018,320313,E,93.3
2018,320315,E,0.0
2018,320318,E,42.4
2018,320319,E,0.0
2018,320320,E,11.8
2018,320324,E,0.9
2018,320327,E,59.2
2018,320328,E,61.9
2018,320332,E,94.1
2018,320339,E,50.9
2018,320340,I,63.3
2018,320344,E,31.0
2018,320347,E,88.5
2018,320348,E,43.4
2018,320352,E,32.3
2018,320354,E,42.5
2018,320360,E,45.1
2018,320362,E,15.9
2018,320363,E,70.7
2018,320364,E,66.4
2018,320367,E,60.9
2018,320369,E,52.3
2018,320372,E,61.9
2018,320374,E,64.9
2018,320376,E,19.6
2018,320388,E,59.2
2018,320400,E,0.0
2018,330304,E,29.6
2018,330308,E,49.5
2018,330312,E,84.1
2018,330334,E,100.0
2018,330354,E,45.3
2018,330360,I,57.8
2018,340308,E,23.2
2018,340314,E,15.0
2018,340320,E,21.1
2018,340326,E,30.3
2018,340334,E,48.6
2018,340344,E,12.5
2018,340348,E,34.3
2018,340351,E,51.1
2018,340354,I,43.3
2018,340368,E,32.9
2018,340376,E,37.7
2018,340380,E,50.6
2018,340384,E,42.1
2018,340390,E,15.3
2018,340400,E,64.2
2018,340403,E,64.9
2018,340416,E,38.6
2018,340424,E,40.5
2018,340426,E,41.3
2018,340427,A,0.0
2018,340428,E,43.2
2018,340430,E,66.2
2018,340432,E,83.3
2018,340440,E,57.0
2018,340447,E,19.6
2018,340448,E,28.2
2018,340453,E,40.4
2018,340457,E,43.4
2018,340462,E,4.3
2018,340472,E,15.9
2018,340476,E,38.8
2018,340490,E,39.0
2018,340494,E,52.3
2018,340504,E,54.2
2018,340508,E,7.3
2018,340512,E,95.1
2018,340514,E,73.9
2018,340520,E,12.0
2018,340528,E,66.7
2018,340530,E,30.2
2018,340531,E,16.7
2018,340532,E,71.8
2018,340536,E,56.1
2018,340540,E,34.4
2018,340548,E,75.8
2018,340560,E,61.1
2018,350304,E,7.5
2018,350316,E,32.1
2018,350318,E,37.1
2018,350330,E,11.9
2018,350331,E,55.6
2018,350332,E,30.8
2018,350339,E,67.9
2018,350340,E,30.6
2018,360338,E,67.3
2018,360340,E,55.4
2018,360344,E,31.4
2018,360348,E,94.1
2018,360352,E,46.9
2018,360364,E,67.0
2018,360376,E,27.5
2018,360392,E,78.1
2018,360400,E,76.1
2018,360420,E,71.7
2018,360430,E,77.7
2018,360438,E,36.3
2018,360440,E,30.4
2018,360448,E,83.3
2018,360464,E,80.0
2018,360468,E,72.1
2018,360478,E,69.9
2018,360480,E,40.3
2018,360482,E,85.3
2018,360488,E,92.1
2018,360490,E,78.8
2018,360492,E,30.8
2018,360499,E,93.0
2018,360504,E,37.1
2018,360510,E,37.0
2018,360520,E,35.6
2018,370304,E,9.3
2018,370316,E,25.4
2018,370324,E,93.9
2018,380306,E,56.8
2018,390311,E,23.9
2018,390312,E,24.1
2018,390316,E,65.9
2018,390333,E,82.6
2018,390336,E,94.1
2018,390360,E,55.1
2018,390362,E,93.1
2018,390364,E,71.6
2018,390368,E,31.7
2018,400321,E,26.1
2018,410304,E,79.4
2018,410307,E,13.9
2018,410310,E,30.1
2018,410322,E,37.5
2018,410328,E,47.4
2018,410331,E,43.6
2018,410334,E,38.3
2018,410337,E,85.7
2018,410340,E,56.0
2018,410343,E,66.0
2018,410346,E,53.0
2018,410349,E,34.1
2018,410361,E,83.3
2018,410364,E,65.8
2018,410366,E,23.0
2018,410370,E,22.5
2018,410373,E,19.1
2018,410376,E,56.7
2018,410382,E,55.2
2018,410385,E,28.6
2018,410388,E,74.1
2018,410400,E,27.9
2018,410403,E,0.0
2018,410409,E,34.4
2018,410412,E,42.0
2018,410418,E,0.0
2018,410423,E,47.3
2018,410424,E,28.6
2018,410427,I,78.7
2018,410430,E,0.0
2018,410436,E,64.5
2018,410439,E,0.0
2018,410451,E,73.6
2018,410454,E,48.3
2018,410461,E,29.3
2018,410462,E,24.1
2018,410466,E,
2018,410469,E,33.3
2018,410472,E,0.0
2018,410478,E,31.6
2018,410481,E,70.2
2018,410486,E,63.9
2018,410491,E,51.4
2018,410496,E,1.6
2018,410499,E,14.3
2018,410502,E,58.8
2018,410505,E,20.0
2018,410511,E,44.2
2018,410514,E,25.0
2018,410517,E,67.6
2018,410522,E,61.9
2018,410523,E,56.9
2018,410530,E,8.6
2018,410532,E,1.2
2018,410535,E,30.0
2018,410538,E,57.1
2018,410541,E,58.3
2018,410542,E,43.8
2018,410553,E,39.1
2018,410559,E,54.9
2018,410568,E,88.6
2018,410571,E,55.8
2018,410574,E,79.3
2018,410577,E,4.2
2018,410578,E,48.8
2018,410580,E,29.3
2018,410583,E,38.2
2018,410586,E,20.0
2018,410598,E,
2018,420304,E,100.0
2018,420316,E,21.2
2018,420328,E,29.4
2018,420336,E,0.0
2018,420340,E,41.2
2018,420348,E,35.0
2018,421304,E,11.1
2018,421328,E,43.1
2018,422314,E,29.7
2018,430304,E,65.2
2018,430312,E,45.0
2018,430316,E,13.0
2018,430320,E,81.4
2018,430328,E,35.7
2018,430340,E,39.1
2018,430344,E,15.8
2018,430348,E,20.0
2018,430349,E,23.2
2018,430352,E,11.3
2018,430358,E,17.4
2018,430368,E,57.7
2018,430369,E,20.0
2018,440314,E,56.0
2018,440328,E,63.4
2018,440332,E,63.2
2018,440348,E,75.2
2018,440349,E,70.1
2018,440350,E,81.0
2018,440364,E,67.6
2018,440368,E,22.2
2018,450302,E,36.8
2018,450306,E,65.3
2018,450307,E,60.6
2018,450308,E,78.3
2018,450322,E,67.6
2018,450324,E,85.1
2018,450332,E,93.5
2018,450333,E,94.7
2018,450336,E,88.3
2018,450339,E,92.7
2018,450340,E,73.9
2018,450344,E,60.3
2018,450346,E,92.9
2018,460312,E,40.0
2018,460332,E,19.6
2018,470310,E,69.7
2018,470316,E,55.6
2018,470328,E,23.0
2018,470330,E,63.3
2018,470336,E,51.6
2018,470340,E,86.1
2018,470346,E,60.7
2018,470441,E,68.0
2018,480306,E,41.7
2018,480316,A,58.3
2018,490312,E,90.5
2018,490316,E,95.2
2018,490318,E,21.4
2018,490319,E,1.1
2018,490324,E,30.5
2018,490326,E,14.0
2018,490332,E,13.3
2018,490336,E,16.9
2018,490337,E,71.8
2018,490345,E,60.0
2018,490348,E,46.7
2018,490356,E,95.2
2018,490360,E,42.1
2018,490363,E,69.2
2018,490364,E,22.7
2018,490368,E,67.4
2018,490390,E,70.2
2018,491316,E,17.8
2018,491318,E,21.2
2018,491320,E,23.3
2018,500304,I,37.5
2018,500314,I,91.0
2018,500316,E,58.3
2018,500332,I,53.4
2018,500337,I,85.7
2018,510308,E,33.3
2018,510326,E,41.0
2018,510328,E,36.4
2018,510332,E,41.7
2018,510334,E,25.8
2018,510336,E,9.1
2018,510340,E,21.1
2018,510343,E,42.6
2018,510356,E,19.8
2018,510358,E,42.9
2018,510360,I,5.4
2018,510372,E,90.5
2018,510373,E,62.6
2018,510374,E,29.4
2018,510377,E,53.3
2018,510378,E,41.6
2018,510388,E,20.1
2018,510396,E,1.2
2018,510404,E,47.4
2018,510408,E,0.0
2018,510410,E,16.4
2018,510414,E,24.5
2018,520304,E,73.7
2018,520308,E,18.8
2018,520328,E,15.8
2018,520336,E,0.0
2018,530302,E,24.8
2018,530308,E,58.5
2018,530312,E,28.2
2018,530320,E,92.6
2018,530340,E,80.9
2018,530346,E,88.8
2018,530354,E,76.5
2018,540304,E,61.8
2018,540308,I,66.3
2018,540316,E,19.2
2018,540320,E,74.6
2018,540325,E,45.2
2018,540326,E,27.4
